singlish,english
"Eh, you know how to chop the garlic not?","Hey, do you know how to chop the garlic?"
Later you heat up the oil then you throw in the onions can already.,"Later, you heat up the oil and then you can add the onions."
"Wah, the chicken you marinate until so shiok!","Wow, the chicken you've marinated tastes amazing!"
"Aiyah, I forget to buy the fish sauce, how?","Oh no, I forgot to buy the fish sauce, what should I do?"
"Make sure the fire not too big, if not the food will chao ta.","Make sure the heat isn't too high, otherwise the food will get burnt."
"You watch the pot, don't let the soup all boil away hor.","Please watch the pot and make sure the soup doesn't boil away, okay?"
"Eh, help me taste this and see if need more salt or not.","Hey, can you taste this and tell me if it needs more salt?"
"The rice, you washed already anot?",Have you washed the rice yet?
"If the prawns too big, you cut them into half can liao.","If the prawns are too big, you can just cut them in half."
"This brand of soy sauce very power one, use a little bit enough.","This brand of soy sauce is very strong, just use a little bit."
"Eh, you study already for the test or not?","Hey, have you finished studying for the test?"
"I think I need to mug more for the final exam, lah.",I believe I need to study harder for the final exam.
"Last night I burn midnight oil, try to memorize everything.",Last night I stayed up late trying to memorize everything.
You go library study or at home better?,Do you prefer to study at the library or at home?
"Wah, the exam was so tough, I should have studied more!","Wow, the exam was so difficult; I should have studied more!"
My parents always say must study hard to get good job next time.,My parents always say that I must study hard to get a good job in the future.
"I see you everyday also at the study corner, very hardworking hor?","I see you at the study corner every day; you're very diligent, aren't you?"
"This semester I take five modules, sibei jialat.",This semester I'm taking five modules; it's extremely tough.
"You better chiong for your revisions, exams are coming.",You better rush your revisions; exams are approaching.
"If study too stress, go take a break, eat some snack can already.","If studying is too stressful, take a break and have some snacks."
"Eh, you last night sleep not enough ah?","Hey, did you not get enough sleep last night?"
"I tell you, the pillow so shiok, I straight away knock out lor.","I'm telling you, the pillow was so comfortable, I fell asleep immediately."
"Wah, you see the rain, make me feel like want to sleep whole day leh.","Wow, looking at the rain makes me want to sleep all day."
"My neighbour so noisy, keep me awake whole night sia.","My neighbor was so noisy, they kept me awake all night."
"Tonight I must sleep early, tomorrow got big presentation sia.","I must go to bed early tonight, I have a big presentation tomorrow."
"Eh, don't disturb me, I trying to nap a bit can?","Hey, don't disturb me, I'm trying to take a short nap, okay?"
You every night how many hours sleep ah?,How many hours do you sleep every night?
"Last night I sleep until so song, don't feel like waking up sia.","Last night I slept so soundly, I didn't feel like waking up at all."
"My brother snore until so loud, I also cannot sleep properly.",My brother snores so loudly that I can't sleep properly.
"Oi, you better go sleep now, tomorrow still must wake up early leh.","Hey, you better go to bed now, you still have to wake up early tomorrow."
"Eh, later we go makan at the hawker centre, can?","Hey, shall we go eat at the food court later, is that okay?"
"I very kiasu, I already chope seat with tissue packet.","I'm quite competitive, I've already reserved a seat with a packet of tissues."
"Wah, this char kway teow really power lah!","Wow, this stir-fried rice noodle dish is really amazing!"
You want tapao or makan here?,Do you want to take away or eat here?
"The chicken rice stall got long queue, but worth it lah.","There's a long line at the chicken rice stall, but it's worth the wait."
"Auntie, kopi-o kosong, less sweet can?","Ma'am, may I have a black coffee without milk and less sugar, please?"
"Tonight I lazy, just dabao from downstairs.","Tonight I'm feeling lazy, I'll just take out food from downstairs."
"Eh, you tried the new bubble tea shop not?","Hey, have you tried the new bubble tea shop?"
"This nasi lemak sibei shiok, you must try!","This coconut rice is extremely delicious, you must try it!"
"I think I jialat already, eat too much until I cannot walk.","I think I'm in trouble, I've eaten so much that I can't walk."
"Eh, you finish your work already ah?","Hey, have you finished your work?"
I stay back late yesterday to clear all the outstanding tasks lor.,I stayed back late yesterday to complete all the outstanding tasks.
"The boss always arrow me to do extra work, sian.","The boss always assigns me extra work, it's tiring."
This project I do until peng san already.,I'm exhausted from working on this project.
"You better chiong your report, deadline coming liao.","You better hurry up with your report, the deadline is approaching."
"Wah, this new intern quite on the ball leh.","Wow, this new intern is quite capable."
"Eh, later got meeting, don't forget hor.","Hey, there's a meeting later, don't forget."
"I think I need to OT tonight, too many things to settle.","I think I need to work overtime tonight, there are too many things to settle."
You all want to go for lunch together or not?,Do you all want to go for lunch together?
"My computer hang again, need to call IT support liao.","My computer crashed again, I need to call IT support."
"Eh, you want to go jogging at the park or not?","Hey, do you want to go jogging at the park?"
"I every morning do sit-ups one, very sian already.","I do sit-ups every morning, and it's becoming tedious."
"Wah, the yoga class today damn shiok lah.","Wow, the yoga class today was really enjoyable."
You never exercise ah? Later you get fat how?,Don't you exercise? What if you gain weight?
"My brother, he always go gym one, very fit lor.",My brother always goes to the gym; he's very fit.
"Last time I can run 10km, now 5km also cannot.","I used to be able to run 10km, now I can't even run 5km."
"Eh, you join me for spinning class or not this weekend?","Hey, are you going to join me for the spinning class this weekend?"
"I think I need to start lifting weights, my arms like so skinny.",I think I need to start lifting weights; my arms are so skinny.
"You see that guy? He everyday swim fifty laps, power sia.",Do you see that guy? He swims fifty laps every day; that's impressive.
"Aiya, I today eat too much, tomorrow must go run extra round.","Oh no, I ate too much today; I must run an extra round tomorrow."
"Eh, you read the new book not?","Hey, have you read the new book?"
"Last time I read until very late, you know?","I used to read until very late, you know?"
I think the library still got a lot of books I never read leh.,I think the library still has many books that I haven't read yet.
You prefer to read online or like to hold the book one?,Do you prefer to read online or do you like to hold a physical book?
"Wah, this author's style of writing very chim, I take quite long to understand leh.","Wow, this author's writing style is very profound; it takes me quite a while to understand."
My teacher say must read more books to improve our English hor.,My teacher said that we must read more books to improve our English.
"I go library, but the book I want always borrowed out liao.","I go to the library, but the book I want is always checked out."
"Eh, you got any good books to recommend anot?","Hey, do you have any good books to recommend?"
"I see you always reading, sure can learn a lot of things one.",I see you're always reading; you must be able to learn a lot of things.
"Nowadays, read e-books more convenient, can read on the MRT also.","Nowadays, reading e-books is more convenient; you can even read on the MRT."
"Eh, you help me mop the floor can or not?","Hey, can you help me mop the floor?"
Later I come back then I vacuum the carpet lah.,I'll vacuum the carpet when I come back later.
"Wah, the window so dirty, need to clean already.","Wow, the window is so dirty, it needs to be cleaned."
"Don't like that lah, put your things properly, the table so messy.","Please don't leave your things like that, organize them, the table is very messy."
You never wash the dishes ah? Sink full of plates leh.,Haven't you washed the dishes? The sink is full of plates.
"I tell you many times already, after eating must throw the rubbish.","I've told you many times, you must throw away the trash after eating."
"Eh, your room very dusty leh, go and sweep the floor.","Hey, your room is very dusty, go and sweep the floor."
Why you never help out at home one? Always need to nag at you.,Why don't you ever help out at home? I always need to remind you.
"This weekend we all do spring cleaning together, okay not?","This weekend let's all do spring cleaning together, okay?"
"Aiyah, the laundry basket overflowing already, go wash some clothes lah.","Oh dear, the laundry basket is overflowing, please go wash some clothes."
"Eh, you go Orchard Road shopping not? Later can tompang me buy things?","Hey, are you going shopping at Orchard Road? If so, can you help me buy some things?"
"Wah, the Great Singapore Sale now leh, must go see see look look.","Wow, the Great Singapore Sale is on now, we must go and check it out."
This one can bargain or not ah?,Can I negotiate the price for this item?
"I yesterday go Bugis, then I kena chop, buy things so expensive!","I went to Bugis yesterday, and I got ripped off; the things I bought were so expensive!"
"Eh, later we go Mustafa Centre, I heard got many cheap things there.","Hey, let's go to Mustafa Centre later, I heard there are many affordable items there."
You think this dress chio or not? I see already long time leh.,Do you think this dress is stylish? I've been looking at it for a long time.
"Aiyah, I forget to bring my member card, cannot get discount liao.","Oh no, I forgot to bring my membership card, I can't get the discount now."
You all want to go VivoCity anot? I hear there got sale.,Do you all want to go to VivoCity? I heard there's a sale going on.
"This shop sell one for one free, very worth it hor?","This shop has a buy one get one free deal, it's very worthwhile, isn't it?"
"I think I spend too much already, next month then I go shopping again lah.","I think I've spent too much already, I'll go shopping again next month."
"Eh, you know not? Singapore got a lot of ERP gantries one.",Do you know that Singapore has many Electronic Road Pricing gantries?
"Last time I drive to Orchard Road, parking there really can make you pok kai.","When I drove to Orchard Road the last time, parking there was so expensive it could make you go broke."
"Walao, the jam at the Causeway is sibeh jialat now.","Wow, the traffic jam at the Causeway is really terrible now."
"If you speed, later kena caught by TP how?","If you speed, what will you do if you get caught by the Traffic Police?"
"I tell you ah, better not drink and drive, very dangerous one.","I'm telling you, it's better not to drink and drive; it's very dangerous."
