" singlish"," english"
"Wah, the kopi today taste damn solid lah!","Wow, the coffee today tastes really good!"
Walao… she tell me she don't love me anymore… my heart really pain sia.,She told me she doesn't love me anymore… my heart really hurts.
"Alamak, the dog run off from backyard just now!","Oh no, the dog ran off from the backyard just now!"
I takut I lose my job if this target cannot hit one.,I'm afraid I'll lose my job if I can't hit this target.
"He keep talking cock during meeting lor, cannot tahan.","He keeps talking nonsense during the meeting, can't stand it."
"Eh, you coming to makan later or not?","Hey, are you coming to eat later or not?"
"Yesterday we lepak by the beach until sunset, damn relaxing lah.","Yesterday we hung out by the beach until sunset, very relaxing."
"The laptop suddenly freeze again, confirm kena virus lor.","The laptop suddenly froze again, definitely caught a virus."
"She received her results, stunned like cannot believe leh.","She received her results, and was stunned like she couldn't believe it."
"I still scared to try that roller-coaster ride, no guts one.","I'm still afraid to try that roller-coaster ride, don't have the guts."
"My phone missing since morning, whole day feel so heavy heart lah.","My phone has been missing since morning, whole day my heart feels heavy."
"Wah piang eh, the price for that dress so atas one.","My gosh, the price for that dress is so expensive."
"Today work nothing much, just steady only.","Today at work nothing much, just okay."
"We got lobang for free buffet tonight, shiok sia! ","We have an opportunity for a free buffet tonight, so good!"
"Cannot believe he ghost me after our date eh, so sian.","Cannot believe he ghosted me after our date, so disappointed."
"The storm last night damn scary leh, thunder non-stop.","The storm last night was really scary, there was nonstop thunder."
"Bro, your presentation killed it — totally steady pom pi pi.","Bro, your presentation was awesome — totally solid."
"Wah, this nasi lemak so lemak and tasty, confirm win.","Wow, this nasi lemak is very rich and tasty, definitely a win."
"I shouted at the cab driver already, cannot tahan his driving.","I already yelled at the cab driver, can't stand his driving."
She feel very ulu after moving to that ulu estate lor.,She feels very isolated after moving to that out-of-the-way estate.
Huh? You actually finish work early today meh?,Huh? You actually finished work early today?
"He blur blur one, cannot even remember his own password.","He is clueless, can't even remember his own password."
"I so relieved the exam over liao, can finally chill.","I'm so relieved the exam is over, can finally chill."
"My wallet eaten by parking machine, what the heck lah.","My wallet got eaten by the parking machine, what the heck."
"The doctor say need surgery, I quite jia lat one leh.","The doctor says I need surgery, I'm quite worried"
"We walk from Bugis to Marina Bay, nice view but legs damn sian afterwards.","We walked from Bugis to Marina Bay, nice view but legs were very tired afterward."
"She just got puppy, the little thing damn cute sia.","She just got a puppy, the little thing is so cute."
"Alamak, I spill kopi on my shirt just now, shock sia!","Oh no, I spilled coffee on my shirt just now, I was so shocked!"
"He lost his phone, feel very down lah.",He lost his phone and feels very sad.
The ghost story we heard in the kampung last night gave me goose-bumps leh.,The ghost story we heard in the camp last night gave me goose-bumps.
